id,id_android,speed,time,distance,rating,rating_bus,rating_weather,car_or_bus
1,0,19.21,0.14,2.652,3,0,0,1
2,0,30.85,0.17,5.29,3,0,0,1
3,1,13.56,0.07,0.918,3,0,0,2
4,1,19.77,0.39,7.7,3,0,0,2
8,0,25.81,0.15,3.995,2,0,0,1
10,2,1.35,0.01,0.009,2,0,0,1
11,3,36.85,0.23,8.402,3,0,0,1
12,1,17.41,0.04,0.675,3,0,0,2
13,1,15.4,0.53,8.111,3,0,0,2
14,1,8.9,0,0.027,2,0,0,2
16,3,15.04,0.22,3.277,3,0,0,1
17,3,14.44,0.27,3.872,3,0,0,1
18,1,16.36,0.08,1.26,2,0,0,2
19,1,17.54,0.33,5.857,2,0,0,2
20,4,9.45,0.28,2.616,2,0,0,1
21,4,9.45,0.28,2.616,2,0,0,1
22,4,16.26,0.45,7.334,2,0,0,1
23,4,21.22,0.29,6.149,3,0,0,1
24,4,19.42,0.24,4.595,2,0,0,2
25,4,20.8,0.43,8.849,3,0,0,2
26,4,8.72,1.94,16.951,1,0,0,2
27,4,8.72,1.94,16.951,1,0,0,2
28,3,8.69,0.5,4.364,3,0,0,1
30,3,55,1.01,55.77,3,0,0,1
31,3,55,1.01,55.77,3,0,0,1
33,1,12.61,0.58,7.303,2,0,0,2
34,3,14.53,0.08,1.149,3,0,0,1
35,3,10.29,0.32,3.276,3,0,0,1
36,3,18.33,0.13,2.4,3,0,0,1
37,1,17.18,0.17,2.853,3,0,0,1
38,1,17.1,0.13,2.278,3,0,0,1
39,1,32.52,0.2,6.625,3,0,0,1
40,1,19.93,0.33,6.561,3,0,0,1
41,1,21.51,0.66,14.14,2,0,0,1
42,1,27.53,0.29,8.048,3,0,0,1
43,1,28.1,0.28,7.773,3,0,0,1
44,3,22.32,0.08,1.842,3,0,0,1
45,3,22.32,0.08,1.842,3,0,0,1
46,3,32.38,0.17,5.381,3,0,0,1
47,1,22.38,0.35,7.769,2,0,0,1
48,1,24.91,0.26,6.597,2,0,0,1
49,5,37.14,0.5,18.602,3,0,0,2
50,5,37.14,0.5,18.602,3,0,0,2
51,2,72.93,0.01,0.661,1,0,0,2
54,1,0.07,0.02,0.001,2,0,0,1
55,1,83.33,0.08,6.976,3,0,0,1
56,1,83.33,0.08,6.976,3,0,0,1
58,6,96.21,0.35,33.739,2,0,0,2
61,1,3.24,0.01,0.033,2,0,0,2
63,1,0.58,0,0.002,2,0,0,2
65,1,1.39,0,0.006,2,0,0,2
67,1,0.18,0.03,0.006,2,0,0,2
70,1,0.19,0.03,0.006,2,0,0,2
71,1,2.74,0,0.01,2,0,0,2
78,1,1.55,0.01,0.014,2,0,0,2
99,1,0.89,0.03,0.029,2,0,0,2
128,1,1.26,0.13,0.168,2,0,0,2
131,7,19.83,0.51,10.101,3,0,0,1
132,7,16.89,0.56,9.523,3,0,0,1
133,7,20.58,0.49,10.151,3,0,0,1
134,8,0.31,0.46,0.141,2,0,0,1
135,8,0.31,0.46,0.141,2,0,0,1
136,9,21.67,0.25,5.395,3,0,0,1
137,9,21.67,0.25,5.395,3,0,0,1
138,9,33.2,0.1,3.473,3,0,0,1
139,9,33.2,0.1,3.473,3,0,0,1
140,9,26.9,0.23,6.199,3,0,0,1
141,9,26.9,0.23,6.199,3,0,0,1
142,9,31.09,0.24,7.473,3,0,0,1
143,9,31.09,0.24,7.473,3,0,0,1
145,8,0.46,0.11,0.053,2,0,0,1
146,8,0.78,0.02,0.015,2,0,0,1
147,8,1.28,0.36,0.456,2,0,0,1
148,8,1.49,0,0.007,2,0,0,1
149,8,23.05,0.32,7.339,3,0,0,1
150,7,21.24,0.48,10.091,3,0,0,1
151,7,21.3,0.44,9.44,3,0,0,1
153,7,24.43,0.42,10.179,3,0,0,1
155,1,0.64,0,0.003,2,0,0,2
156,3,17.93,0.02,0.381,3,0,0,1
157,10,0.2,0.09,0.017,1,0,0,2
158,10,0.04,0.06,0.002,1,0,0,2
159,1,1.03,0,0.003,3,0,0,2
171,1,8.99,0,0.036,1,3,1,2
173,1,0.73,0.01,0.01,3,0,0,1
177,1,3.46,0,0.015,3,1,1,2
179,1,1.58,0.01,0.008,3,1,2,2
180,1,0.25,0.02,0.006,2,0,0,1
190,1,0.92,0,0.002,2,0,0,1
205,1,1.02,0.01,0.008,3,2,1,2
206,1,0.06,0.02,0.001,3,0,0,1
207,1,0.07,0.1,0.007,3,0,0,1
208,1,13.47,0.29,3.973,3,0,0,1
209,10,0.13,0.26,0.033,2,0,0,1
210,10,23.78,0.27,6.339,1,2,2,2
248,10,24,0.29,6.924,3,1,2,2
32446,10,21.2,0.31,6.587,3,2,2,2
32447,10,21.2,0.31,6.587,3,2,2,2
37945,10,20.37,0.39,7.977,3,1,2,2
37949,11,2.88,0.01,0.037,1,2,2,2
37950,10,18.79,0.13,2.371,3,1,2,2
37951,10,18.79,0.13,2.371,3,1,2,2
37953,10,14.9,0.46,6.888,3,1,2,2
37954,10,14.9,0.46,6.888,3,1,2,2
37955,10,25.55,0.44,11.297,3,1,2,2
37956,10,6.77,0.17,1.143,3,0,0,1
37957,10,22.47,0.37,8.311,3,0,0,1
37960,1,13.53,0.47,6.331,1,1,1,2
37961,10,17.97,0.45,8.161,3,1,2,2
37962,12,14.71,1.28,18.819,2,0,0,1
37964,10,29.54,0.21,6.32,3,1,2,2
37965,10,15.62,0.33,5.162,3,1,2,2
37967,1,0.01,0.31,0.003,1,1,1,2
37969,1,16.78,0.19,3.24,1,1,1,2
37971,1,4.87,0.01,0.042,3,1,1,2
37972,1,4.87,0.01,0.042,3,1,1,2
37973,1,0.37,0.02,0.007,2,0,0,1
37979,1,0.56,0.05,0.028,3,1,2,2
37982,1,4.68,0,0.018,3,1,2,2
37983,1,1.6,0.01,0.01,3,1,2,2
37989,10,18.71,0.44,8.173,1,1,1,2
37990,1,1.83,0,0.004,3,1,2,2
37992,10,13.56,0.53,7.194,2,0,0,1
37993,13,0.1,0.01,0.001,3,1,2,2
37995,10,0.18,0.21,0.038,3,1,2,2
37996,13,25.96,0.54,13.951,2,0,0,1
37997,13,25.96,0.54,13.951,2,0,0,1
37998,1,1.41,0,0.005,3,0,0,1
38000,1,16.69,0.45,7.435,3,2,2,2
38001,10,10.94,0.77,8.382,3,1,2,2
38002,12,30.4,0.8,24.461,3,0,0,1
38003,14,6.76,0.49,3.298,2,0,0,1
38012,15,25.65,0.36,9.149,2,0,0,1
38013,15,17.65,0.53,9.279,1,0,0,1
38015,10,24.5,0.2,4.853,1,2,2,2
38016,1,11.57,0.44,5.105,1,3,1,2
38017,16,14.63,0.77,11.218,2,0,0,1
38018,17,0.4,0.02,0.007,3,1,2,2
38019,16,9.08,0.51,4.651,2,0,0,1
38020,18,25.45,0.19,4.937,3,0,0,1
38021,18,25.45,0.19,4.937,3,0,0,1
38022,1,19.38,0.35,6.809,1,2,2,2
38024,10,7.14,0.58,4.146,3,1,2,2
38030,1,1.78,0,0.007,3,1,2,2
38031,19,0.17,0.46,0.079,3,1,2,2
38039,20,1.31,0.02,0.021,3,1,2,2
38044,21,23.2,0.23,5.434,3,2,2,2
38045,21,23.5,0.16,3.747,3,1,2,2
38064,22,1.45,0.09,0.134,3,2,2,2
38069,23,0.54,0.02,0.012,3,1,2,2
38072,24,36.65,0.2,7.332,3,0,0,1
38073,24,31.37,0.26,8.024,3,0,0,1
38074,24,25.56,0.18,4.538,3,0,0,1
38075,24,38.03,0.17,6.516,3,0,0,1
38076,24,28.14,0.23,6.38,3,0,0,1
38077,24,21.81,0.14,3.136,3,0,0,1
38079,24,23.83,0.2,4.692,2,0,0,1
38080,24,28.34,0.11,3.13,3,0,0,1
38081,24,30.05,0.22,6.574,2,0,0,1
38082,24,30.17,0.26,7.706,3,0,0,1
38084,25,1.15,0.01,0.015,1,3,2,2
38090,26,0.84,0.01,0.006,3,1,2,2
38092,27,1.37,0.02,0.023,3,1,2,2
